total_bill,tip,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,Payment ID,total_amt
16.93,3.07,Female,No,Sat,Dinner,3,5.64,Erin Lewis,5160000000000000.0,Sat6406,20.0
18.69,2.31,Male,No,Sat,Dinner,3,6.23,Brandon Bradley,4430000000000000.0,Sat4056,21.0
31.27,5.0,Male,No,Sat,Dinner,3,10.42,Mr. Brandon Berry,6010000000000000.0,Sat6373,36.269999999999996
16.04,2.24,Male,No,Sat,Dinner,3,5.35,Adam Edwards,3540000000000000.0,Sat8549,18.28
17.46,2.54,Male,No,Sun,Dinner,2,8.73,David Boyer,3540000000000000.0,Sun9460,20.0
13.94,3.06,Male,No,Sun,Dinner,2,6.97,Bryan Brown,36200000000000.0,Sun1699,17.0
9.68,1.32,Male,No,Sun,Dinner,2,4.84,Christopher Spears,4390000000000000.0,Sun3279,11.0
30.4,5.6,Male,No,Sun,Dinner,4,7.6,Todd Cooper,504000000000.0,Sun2274,36.0
18.29,3.0,Male,No,Sun,Dinner,2,9.14,Richard Fitzgerald,375000000000000.0,Sun8643,21.29
22.23,5.0,Male,No,Sun,Dinner,2,11.12,Joshua Gilmore,4290000000000.0,Sun7097,27.23
32.4,6.0,Male,No,Sun,Dinner,4,8.1,James Barnes,3550000000000000.0,Sun9677,38.4
28.55,2.05,Male,No,Sun,Dinner,3,9.52,Austin Fisher,6010000000000000.0,Sun4142,30.6
18.04,3.0,Male,No,Sun,Dinner,2,9.02,William Roth,6570000000000000.0,Sun9774,21.04
12.54,2.5,Male,No,Sun,Dinner,2,6.27,Jeremiah Neal,2230000000000000.0,Sun2021,15.04
10.29,2.6,Female,No,Sun,Dinner,2,5.14,Jessica Ibarra,5000000000000.0,Sun4474,12.889999999999999
34.81,5.2,Female,No,Sun,Dinner,4,8.7,Emily Daniel,4290000000000000.0,Sun6165,40.010000000000005
9.94,1.56,Male,No,Sun,Dinner,2,4.97,Curtis Morgan,4630000000000000.0,Sun4561,11.5
25.56,4.34,Male,No,Sun,Dinner,4,6.39,Ronald Owens,6570000000000000.0,Sun9470,29.9
19.49,3.51,Male,No,Sun,Dinner,2,9.74,Michael Hamilton,6500000000000000.0,Sun1118,23.0
38.01,3.0,Male,Yes,Sat,Dinner,4,9.5,James Christensen DDS,350000000000000.0,Sat8903,41.01
26.41,1.5,Female,No,Sat,Dinner,2,13.2,Melody Simon,4750000000000000.0,Sat8980,27.91
11.24,1.76,Male,Yes,Sat,Dinner,2,5.62,Troy Guerrero,3560000000000000.0,Sat6683,13.0
48.27,6.73,Male,No,Sat,Dinner,4,12.07,Brian Ortiz,6600000000000000.0,Sat8139,55.0
20.29,3.21,Male,Yes,Sat,Dinner,2,10.14,Anthony Mclean,348000000000000.0,Sat2353,23.5
13.81,2.0,Male,Yes,Sat,Dinner,2,6.9,Ryan Hernandez,4770000000000.0,Sat3030,15.81
11.02,1.98,Male,Yes,Sat,Dinner,2,5.51,Joseph Hart,180000000000000.0,Sat2265,13.0
18.29,3.76,Male,Yes,Sat,Dinner,4,4.57,Chad Hart,580000000000.0,Sat4178,22.049999999999997
17.59,2.64,Male,No,Sat,Dinner,3,5.86,Michael Johnson,2220000000000000.0,Sat1667,20.23
20.08,3.15,Male,No,Sat,Dinner,3,6.69,Justin Dixon,180000000000000.0,Sat6840,23.229999999999997
16.45,2.47,Female,No,Sat,Dinner,2,8.22,Rachel Vaughn,3570000000000000.0,Sat4750,18.919999999999998
3.07,1.0,Female,Yes,Sat,Dinner,1,3.07,Tiffany Brock,4360000000000000.0,Sat3455,4.07
20.23,2.01,Male,No,Sat,Dinner,2,10.12,Mr. Travis Bailey Jr.,60406789937.0,Sat561,22.240000000000002
15.01,2.09,Male,Yes,Sat,Dinner,2,7.5,Adam Hall,4700000000000000.0,Sat855,17.1
12.02,1.97,Male,No,Sat,Dinner,2,6.01,Max Brown,213000000000000.0,Sat2100,13.99
17.07,3.0,Female,No,Sat,Dinner,3,5.69,Teresa Fisher,5440000000000000.0,Sat3469,20.07
26.86,3.14,Female,Yes,Sat,Dinner,2,13.43,Victoria Obrien MD,4220000000000.0,Sat1967,30.0
25.28,5.0,Female,Yes,Sat,Dinner,2,12.64,Julie Holmes,5420000000000000.0,Sat6065,30.28
14.73,2.2,Female,No,Sat,Dinner,2,7.36,Ashley Harris,502000000000.0,Sat6548,16.93
10.51,1.25,Male,No,Sat,Dinner,2,5.26,Kenneth Hayes,213000000000000.0,Sat5056,11.76
17.92,3.08,Male,Yes,Sat,Dinner,2,8.96,Mark Smith,676000000000.0,Sat9908,21.0
27.2,4.0,Male,No,Thur,Lunch,4,6.8,John Davis,30300000000000.0,Thur4924,31.2
22.76,3.0,Male,No,Thur,Lunch,2,11.38,Chris Hahn,3590000000000000.0,Thur2863,25.76
17.29,2.71,Male,No,Thur,Lunch,2,8.64,Brian Diaz,4760000000000000.0,Thur9501,20.0
19.44,3.0,Male,Yes,Thur,Lunch,2,9.72,Louis Torres,38800000000000.0,Thur6453,22.44
16.66,3.4,Male,No,Thur,Lunch,2,8.33,William Martin,4550000000000000.0,Thur8232,20.06
10.07,1.83,Female,No,Thur,Lunch,1,10.07,Julie Moody,630000000000.0,Thur4909,11.9
32.68,5.0,Male,Yes,Thur,Lunch,2,16.34,Daniel Murphy,5360000000000000.0,Thur8801,37.68
15.98,2.03,Male,No,Thur,Lunch,2,7.99,Jason Jones,4440000000000000.0,Thur1944,18.01
34.83,5.17,Female,No,Thur,Lunch,4,8.71,Shawna Cook,6010000000000000.0,Thur7972,40.0
13.03,2.0,Male,No,Thur,Lunch,2,6.52,Derek Thomas,213000000000000.0,Thur6793,15.03
18.28,4.0,Male,No,Thur,Lunch,2,9.14,Donald Williams,5360000000000000.0,Thur3636,22.28
24.71,5.85,Male,No,Thur,Lunch,2,12.36,Roger Taylor,4410000000000.0,Thur9003,30.560000000000002
21.16,3.0,Male,No,Thur,Lunch,2,10.58,Keith Lewis,4360000000000000.0,Thur6273,24.16
28.97,3.0,Male,Yes,Fri,Dinner,2,14.48,Daniel Mason,3600000000000000.0,Fri4175,31.97
22.49,3.5,Male,No,Fri,Dinner,2,11.24,Earl Horn,6010000000000000.0,Fri5700,25.99
5.75,1.0,Female,Yes,Fri,Dinner,2,2.88,Leah Ramirez,3510000000000000.0,Fri3780,6.75
16.32,4.3,Female,Yes,Fri,Dinner,2,8.16,Natalie Nguyen,5180000000000000.0,Fri6963,20.62
22.75,3.25,Female,No,Fri,Dinner,2,11.38,Jamie Garza,676000000000.0,Fri2318,26.0
40.17,4.73,Male,Yes,Fri,Dinner,4,10.04,Aaron Bentley,180000000000000.0,Fri9628,44.900000000000006
27.28,4.0,Male,Yes,Fri,Dinner,2,13.64,Eric Carter,4560000000000000.0,Fri3159,31.28
12.03,1.5,Male,Yes,Fri,Dinner,2,6.02,Eric Herrera,580000000000.0,Fri9268,13.53
21.01,3.0,Male,Yes,Fri,Dinner,2,10.5,Michael Li,4830000000000000.0,Fri144,24.01
12.46,1.5,Male,No,Fri,Dinner,2,6.23,Edward Carter,347000000000000.0,Fri5575,13.96
11.35,2.5,Female,Yes,Fri,Dinner,2,5.68,Lori Lynch,38600000000000.0,Fri4106,13.85
15.38,3.0,Female,Yes,Fri,Dinner,2,7.69,Tiffany Colon,6010000000000000.0,Fri8382,18.380000000000003
44.3,2.5,Female,Yes,Sat,Dinner,3,14.77,Heather Cohen,380000000000000.0,Sat6240,46.8
22.42,3.48,Female,Yes,Sat,Dinner,2,11.21,Kathleen Hawkins,348000000000000.0,Sat1015,25.900000000000002
20.92,4.08,Female,No,Sat,Dinner,2,10.46,Gabrielle Frederick,4010000000000000.0,Sat3194,25.0
15.36,1.64,Male,Yes,Sat,Dinner,2,7.68,David Price,4030000000000.0,Sat5106,17.0
20.49,4.06,Male,Yes,Sat,Dinner,2,10.24,Karl Mcdaniel,180000000000000.0,Sat7865,24.549999999999997
25.21,4.29,Male,Yes,Sat,Dinner,2,12.6,Jason Mullen,4740000000000.0,Sat5196,29.5
18.24,3.76,Male,No,Sat,Dinner,2,9.12,Steven Grant,4110000000000000.0,Sat6376,22.0
14.31,4.0,Female,Yes,Sat,Dinner,2,7.16,Amanda Anderson,376000000000000.0,Sat2614,18.310000000000002
14.0,3.0,Male,No,Sat,Dinner,2,7.0,James Sanchez,345000000000000.0,Sat6801,17.0
7.25,1.0,Female,No,Sat,Dinner,1,7.25,Terri Jones,3560000000000000.0,Sat4801,8.25
38.07,4.0,Male,No,Sun,Dinner,3,12.69,Jeff Lopez,3570000000000000.0,Sun591,42.07
23.95,2.55,Male,No,Sun,Dinner,2,11.98,John Joyce,6570000000000000.0,Sun1885,26.5
25.71,4.0,Female,No,Sun,Dinner,3,8.57,Katie Smith,5400000000000000.0,Sun6492,29.71
17.31,3.5,Female,No,Sun,Dinner,2,8.65,Kayla Stone,379000000000000.0,Sun8746,20.81
29.93,5.07,Male,No,Sun,Dinner,4,7.48,Shawn Blake,4690000000000000.0,Sun22,35.0
10.65,1.5,Female,No,Thur,Lunch,2,5.32,Linda Zhang,3560000000000000.0,Thur9593,12.15
12.43,1.8,Female,No,Thur,Lunch,2,6.22,Dr. Caroline Tucker,502000000000.0,Thur8084,14.23
24.08,2.92,Female,No,Thur,Lunch,4,6.02,Melanie Jordan,676000000000.0,Thur8063,27.0
11.69,2.31,Male,No,Thur,Lunch,2,5.84,Kenneth Goodman,4890000000000.0,Thur8289,14.0
13.42,1.68,Female,No,Thur,Lunch,2,6.71,Laura Garcia,5180000000000000.0,Thur2158,15.1
14.26,2.5,Male,No,Thur,Lunch,2,7.13,Perry Garcia,180000000000000.0,Thur3579,16.759999999999998
15.95,2.0,Male,No,Thur,Lunch,2,7.98,Christopher Lang,4820000000000000.0,Thur1992,17.95
12.48,2.52,Female,No,Thur,Lunch,2,6.24,Jordan Diaz,4470000000000000.0,Thur208,15.0
29.8,4.2,Female,No,Thur,Lunch,6,4.97,Angela Sanchez,504000000000.0,Thur3948,34.0
8.52,1.48,Male,No,Thur,Lunch,2,4.26,Mario Bradshaw,4520000000000000.0,Thur6719,10.0
14.52,2.0,Female,No,Thur,Lunch,2,7.26,Jessica Simmons,213000000000000.0,Thur1512,16.52
11.38,2.0,Female,No,Thur,Lunch,2,5.69,Christine Perkins,3550000000000000.0,Thur8551,13.38
22.82,2.18,Male,No,Thur,Lunch,3,7.61,Raymond Torres,4860000000000.0,Thur9424,25.0
19.08,1.5,Male,No,Thur,Lunch,2,9.54,Seth Sexton,213000000000000.0,Thur1446,20.58
20.27,2.83,Female,No,Thur,Lunch,2,10.14,Ashley Burke,5390000000000000.0,Thur9005,23.1
11.17,1.5,Female,No,Thur,Lunch,2,5.58,Taylor Gonzalez,6010000000000000.0,Thur7783,12.67
12.26,2.0,Female,No,Thur,Lunch,2,6.13,Kaitlin Wolf,676000000000.0,Thur1561,14.26
18.26,3.25,Female,No,Thur,Lunch,2,9.13,Karen Rodriguez,4950000000000.0,Thur75,21.51
8.51,1.25,Female,No,Thur,Lunch,2,4.26,Rebecca Harris,4320000000000000.0,Thur6600,9.76
10.33,2.0,Female,No,Thur,Lunch,2,5.16,Donna Kelly,180000000000000.0,Thur1393,12.33
14.15,2.0,Female,No,Thur,Lunch,2,7.08,Vanessa Morris,213000000000000.0,Thur3890,16.15
16.0,2.0,Male,Yes,Thur,Lunch,2,8.0,Jason Burgess,3560000000000000.0,Thur2710,18.0
13.16,2.75,Female,No,Thur,Lunch,2,6.58,Lindsey Meyer,676000000000.0,Thur6245,15.91
17.47,3.5,Female,No,Thur,Lunch,2,8.74,Kayla Rios,5230000000000000.0,Thur3906,20.97
34.3,6.7,Male,No,Thur,Lunch,6,5.72,Steven Carlson,3530000000000000.0,Thur1025,41.0
41.19,5.0,Male,No,Thur,Lunch,5,8.24,Eric Andrews,4360000000000000.0,Thur3621,46.19
27.05,5.0,Female,No,Thur,Lunch,6,4.51,Regina Jones,4310000000000.0,Thur6179,32.05
16.43,2.3,Female,No,Thur,Lunch,2,8.22,Linda Jones,6540000000000000.0,Thur9002,18.73
8.35,1.5,Female,No,Thur,Lunch,2,4.18,Amy Young,4290000000000.0,Thur9331,9.85
18.64,1.36,Female,No,Thur,Lunch,3,6.21,Kelly Estrada,60463302327.0,Thur3941,20.0
11.87,1.63,Female,No,Thur,Lunch,2,5.94,Annette Cunningham,676000000000.0,Thur4780,13.5
9.78,1.73,Male,No,Thur,Lunch,2,4.89,David Stewart,3580000000000000.0,Thur7276,11.51
7.51,2.0,Male,No,Thur,Lunch,2,3.76,Daniel Robbins,4820000000000000.0,Thur6321,9.51
14.07,2.5,Male,No,Sun,Dinner,2,7.04,Luke Rice,4810000000000000.0,Sun8863,16.57
13.13,2.0,Male,No,Sun,Dinner,2,6.56,Jason Arnold,3570000000000000.0,Sun2127,15.13
17.26,2.74,Male,No,Sun,Dinner,3,5.75,Gregory Smith,4290000000000.0,Sun5205,20.0
24.55,2.0,Male,No,Sun,Dinner,4,6.14,Todd Patterson,4420000000000000.0,Sun8670,26.55
19.77,2.0,Male,No,Sun,Dinner,4,4.94,James Smith,213000000000000.0,Sun5814,21.77
29.85,5.14,Female,No,Sun,Dinner,5,5.97,Madison Wilson,4210000000000000.0,Sun9176,34.99
48.17,5.0,Male,No,Sun,Dinner,6,8.03,Ryan Gonzales,3520000000000000.0,Sun7518,53.17
25.0,3.75,Female,No,Sun,Dinner,4,6.25,Laura Robles,213000000000000.0,Sun7015,28.75
13.39,2.61,Female,No,Sun,Dinner,2,6.7,Ashley Boyd,3570000000000000.0,Sun982,16.0
16.49,2.0,Male,No,Sun,Dinner,4,4.12,Christopher Soto,30500000000000.0,Sun1781,18.49
21.5,3.5,Male,No,Sun,Dinner,4,5.38,Travis Gonzalez,3530000000000000.0,Sun245,25.0
12.66,2.5,Male,No,Sun,Dinner,2,6.33,Brandon Oconnor,4410000000000000.0,Sun5879,15.16
16.21,2.0,Female,No,Sun,Dinner,3,5.4,Jennifer Baird,4230000000000000.0,Sun5521,18.21
13.81,2.0,Male,No,Sun,Dinner,2,6.9,Charles Newton,5550000000000000.0,Sun8594,15.81
17.51,3.0,Female,Yes,Sun,Dinner,2,8.76,Audrey Griffin,3500000000000000.0,Sun444,20.51
24.52,3.48,Male,No,Sun,Dinner,3,8.17,Jacob Hansen,4030000000000.0,Sun9043,28.0
20.76,2.24,Male,No,Sun,Dinner,2,10.38,Gordon Lane,4110000000000000.0,Sun6738,23.0
31.71,4.5,Male,No,Sun,Dinner,4,7.93,Michael Lawson,3570000000000000.0,Sun3719,36.21
10.59,1.61,Female,Yes,Sat,Dinner,2,5.3,Sara Jimenez,502000000000.0,Sat9795,12.2
10.63,2.0,Female,Yes,Sat,Dinner,2,5.32,Amy Hill,3540000000000000.0,Sat1788,12.63
50.81,10.0,Male,Yes,Sat,Dinner,3,16.94,Gregory Clark,5470000000000000.0,Sat1954,60.81
15.81,3.16,Male,Yes,Sat,Dinner,2,7.9,David Hall,502000000000.0,Sat6750,18.97
7.25,5.15,Male,Yes,Sun,Dinner,2,3.62,Larry White,30400000000000.0,Sun9209,12.4
31.85,3.18,Male,Yes,Sun,Dinner,2,15.92,Scott Perez,3580000000000000.0,Sun9335,35.03
16.82,4.0,Male,Yes,Sun,Dinner,2,8.41,Brian Miles,3590000000000000.0,Sun7621,20.82
32.9,3.11,Male,Yes,Sun,Dinner,2,16.45,Nathan Reynolds,370000000000000.0,Sun5109,36.01
17.89,2.0,Male,Yes,Sun,Dinner,2,8.94,Walter Simmons,6010000000000000.0,Sun5961,19.89
14.48,2.0,Male,Yes,Sun,Dinner,2,7.24,John Dudley,4570000000000000.0,Sun6203,16.48
9.6,4.0,Female,Yes,Sun,Dinner,2,4.8,Melanie Gray,4210000000000.0,Sun4598,13.6
34.63,3.55,Male,Yes,Sun,Dinner,2,17.32,Brian Bailey,347000000000000.0,Sun9851,38.18
34.65,3.68,Male,Yes,Sun,Dinner,4,8.66,James Hebert DDS,676000000000.0,Sun7544,38.33
23.33,5.65,Male,Yes,Sun,Dinner,2,11.66,Jason Cox,6560000000000000.0,Sun3402,28.979999999999997
45.35,3.5,Male,Yes,Sun,Dinner,3,15.12,Jose Parsons,4110000000000000.0,Sun2337,48.85
23.17,6.5,Male,Yes,Sun,Dinner,4,5.79,Dr. Michael James,4720000000000.0,Sun6059,29.67
40.55,3.0,Male,Yes,Sun,Dinner,2,20.27,Stephen Cox,3550000000000000.0,Sun5140,43.55
20.69,5.0,Male,No,Sun,Dinner,5,4.14,Joseph Howell,30400000000000.0,Sun5842,25.69
20.9,3.5,Female,Yes,Sun,Dinner,3,6.97,Heidi Atkinson,4420000000000000.0,Sun4254,24.4
30.46,2.0,Male,Yes,Sun,Dinner,5,6.09,David Barrett,4790000000000000.0,Sun9987,32.46
18.15,3.5,Female,Yes,Sun,Dinner,3,6.05,Glenda Wiggins,578000000000.0,Sun430,21.65
23.1,4.0,Male,Yes,Sun,Dinner,3,7.7,Richard Stevens,3560000000000000.0,Sun1821,27.1
15.69,1.5,Male,Yes,Sun,Dinner,2,7.84,Riley Barnes,180000000000000.0,Sun5104,17.189999999999998
19.81,4.19,Female,Yes,Thur,Lunch,2,9.9,Kristy Boyd,4320000000000000.0,Thur967,24.0
28.44,2.56,Male,Yes,Thur,Lunch,2,14.22,Dr. Jeffrey Rich,4740000000000.0,Thur4334,31.0
15.48,2.02,Male,Yes,Thur,Lunch,2,7.74,Raymond Sullivan,180000000000000.0,Thur606,17.5
16.58,4.0,Male,Yes,Thur,Lunch,2,8.29,Benjamin Weber,676000000000.0,Thur9318,20.58
7.56,1.44,Male,No,Thur,Lunch,2,3.78,Michael White,4870000000000000.0,Thur697,9.0
10.34,2.0,Male,Yes,Thur,Lunch,2,5.17,Eric Martin,30400000000000.0,Thur9862,12.34
43.11,5.0,Female,Yes,Thur,Lunch,4,10.78,Brooke Soto,5540000000000000.0,Thur9313,48.11
13.0,2.0,Female,Yes,Thur,Lunch,2,6.5,Katherine Bond,4930000000000.0,Thur437,15.0
13.51,2.0,Male,Yes,Thur,Lunch,2,6.76,Joseph Murphy MD,6550000000000000.0,Thur2428,15.51
18.71,4.0,Male,Yes,Thur,Lunch,3,6.24,Jason Conrad,4580000000000.0,Thur6048,22.71
12.74,2.01,Female,Yes,Thur,Lunch,2,6.37,Abigail Parks,3590000000000000.0,Thur2544,14.75
13.0,2.0,Female,Yes,Thur,Lunch,2,6.5,Ashley Shaw,180000000000000.0,Thur1301,15.0
16.4,2.5,Female,Yes,Thur,Lunch,2,8.2,Toni Brooks,3580000000000000.0,Thur7770,18.9
20.53,4.0,Male,Yes,Thur,Lunch,4,5.13,Scott Kim,3570000000000000.0,Thur2160,24.53
16.47,3.23,Female,Yes,Thur,Lunch,3,5.49,Carly Reyes,4790000000000.0,Thur8084,19.7
26.59,3.41,Male,Yes,Sat,Dinner,3,8.86,Daniel Owens,39000000000000.0,Sat1,30.0
38.73,3.0,Male,Yes,Sat,Dinner,4,9.68,Ricky Ramirez,348000000000000.0,Sat4505,41.73
24.27,2.03,Male,Yes,Sat,Dinner,2,12.14,Jason Carter,4270000000000000.0,Sat6048,26.3
12.76,2.23,Female,Yes,Sat,Dinner,2,6.38,Sarah Cunningham,342000000000000.0,Sat1274,14.99
30.06,2.0,Male,Yes,Sat,Dinner,3,10.02,Shawn Mendoza,30200000000000.0,Sat8361,32.06
25.89,5.16,Male,Yes,Sat,Dinner,4,6.47,Christopher Li,6010000000000000.0,Sat6735,31.05
48.33,9.0,Male,No,Sat,Dinner,4,12.08,Alex Williamson,676000000000.0,Sat4590,57.33
13.27,2.5,Female,Yes,Sat,Dinner,2,6.64,Robin Andersen,580000000000.0,Sat1374,15.77
28.17,6.5,Female,Yes,Sat,Dinner,3,9.39,Marissa Jackson,4920000000000000.0,Sat3374,34.67
12.9,1.1,Female,Yes,Sat,Dinner,2,6.45,Jessica Owen,4730000000000.0,Sat6983,14.0
28.15,3.0,Male,Yes,Sat,Dinner,5,5.63,Shawn Barnett PhD,4590000000000.0,Sat7320,31.15
11.59,1.5,Male,Yes,Sat,Dinner,2,5.8,Gary Orr,30300000000000.0,Sat8489,13.09
7.74,1.44,Male,Yes,Sat,Dinner,2,3.87,Nicholas Archer,341000000000000.0,Sat4772,9.18
30.14,3.09,Female,Yes,Sat,Dinner,4,7.54,Shelby House,502000000000.0,Sat8863,33.230000000000004
12.16,2.2,Male,Yes,Fri,Lunch,2,6.08,Ricky Johnson,213000000000000.0,Fri4607,14.36
13.42,3.48,Female,Yes,Fri,Lunch,2,6.71,Leslie Kaufman,379000000000000.0,Fri7511,16.9
8.58,1.92,Male,Yes,Fri,Lunch,1,8.58,Jason Lawrence,3510000000000000.0,Fri6624,10.5
15.98,3.0,Female,No,Fri,Lunch,3,5.33,Mary Rivera,5340000000000000.0,Fri6014,18.98
13.42,1.58,Male,Yes,Fri,Lunch,2,6.71,Ronald Vaughn DVM,342000000000000.0,Fri5959,15.0
16.27,2.5,Female,Yes,Fri,Lunch,2,8.14,Whitney Arnold,3580000000000000.0,Fri6665,18.77
10.09,2.0,Female,Yes,Fri,Lunch,2,5.04,Ruth Weiss,5270000000000000.0,Fri6359,12.09
20.45,3.0,Male,No,Sat,Dinner,4,5.11,Robert Bradley,213000000000000.0,Sat4319,23.45
13.28,2.72,Male,No,Sat,Dinner,2,6.64,Glenn Jones,502000000000.0,Sat2937,16.0
22.12,2.88,Female,Yes,Sat,Dinner,2,11.06,Jennifer Russell,4790000000000.0,Sat3943,25.0
24.01,2.0,Male,Yes,Sat,Dinner,4,6.0,Michael Osborne,4260000000000.0,Sat7872,26.01
15.69,3.0,Male,Yes,Sat,Dinner,3,5.23,Jason Parks,4810000000000.0,Sat6334,18.689999999999998
11.61,3.39,Male,No,Sat,Dinner,2,5.8,James Taylor,6010000000000000.0,Sat2124,15.0
10.77,1.47,Male,No,Sat,Dinner,2,5.38,Paul Novak,6010000000000000.0,Sat1467,12.24
15.53,3.0,Male,Yes,Sat,Dinner,2,7.76,Tracy Douglas,4100000000000000.0,Sat7220,18.53
10.07,1.25,Male,No,Sat,Dinner,2,5.04,Sean Gonzalez,3530000000000000.0,Sat4615,11.32
12.6,1.0,Male,Yes,Sat,Dinner,2,6.3,Matthew Myers,3540000000000000.0,Sat5032,13.6
32.83,1.17,Male,Yes,Sat,Dinner,2,16.42,Thomas Brown,4280000000000000.0,Sat2929,34.0
35.83,4.67,Female,No,Sat,Dinner,3,11.94,Kimberly Crane,676000000000.0,Sat9777,40.5
29.03,5.92,Male,No,Sat,Dinner,3,9.68,Michael Avila,5300000000000000.0,Sat2657,34.95
27.18,2.0,Female,Yes,Sat,Dinner,2,13.59,Monica Sanders,3510000000000000.0,Sat1766,29.18
22.67,2.0,Male,Yes,Sat,Dinner,2,11.34,Keith Wong,6010000000000000.0,Sat3880,24.67
17.82,1.75,Male,No,Sat,Dinner,2,8.91,Dennis Dixon,4380000000000.0,Sat17,19.57
18.78,3.0,Female,No,Thur,Dinner,2,9.39,Michelle Hardin,3510000000000000.0,Thur672,21.78
