This is a cafe Bill,,,,,,,,,,
total_bill,tip,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,Payment ID
18.69,2.31,Male,No,Sat,Dinner,3,6.23,Brandon Bradley,4.43E+15,Sat4056
31.27,5,Male,No,Sat,Dinner,3,10.42,Mr. Brandon Berry,6.01E+15,Sat6373
16.04,2.24,Male,No,Sat,Dinner,3,5.35,Adam Edwards,3.54E+15,Sat8549
17.46,2.54,Male,No,Sun,Dinner,2,8.73,David Boyer,3.54E+15,Sun9460
13.94,3.06,Male,No,Sun,Dinner,2,6.97,Bryan Brown,3.62E+13,Sun1699
9.68,1.32,Male,No,Sun,Dinner,2,4.84,Christopher Spears,4.39E+15,Sun3279
30.4,5.6,Male,No,Sun,Dinner,4,7.6,Todd Cooper,5.04E+11,Sun2274
18.29,3,Male,No,Sun,Dinner,2,9.14,Richard Fitzgerald,3.75E+14,Sun8643
22.23,5,Male,No,Sun,Dinner,2,11.12,Joshua Gilmore,4.29E+12,Sun7097
32.4,6,Male,No,Sun,Dinner,4,8.1,James Barnes,3.55E+15,Sun9677
28.55,2.05,Male,No,Sun,Dinner,3,9.52,Austin Fisher,6.01E+15,Sun4142
18.04,3,Male,No,Sun,Dinner,2,9.02,William Roth,6.57E+15,Sun9774
12.54,2.5,Male,No,Sun,Dinner,2,6.27,Jeremiah Neal,2.23E+15,Sun2021
10.29,2.6,Female,No,Sun,Dinner,2,5.14,Jessica Ibarra,5.00E+12,Sun4474
34.81,5.2,Female,No,Sun,Dinner,4,8.7,Emily Daniel,4.29E+15,Sun6165
9.94,1.56,Male,No,Sun,Dinner,2,4.97,Curtis Morgan,4.63E+15,Sun4561
25.56,4.34,Male,No,Sun,Dinner,4,6.39,Ronald Owens,6.57E+15,Sun9470
19.49,3.51,Male,No,Sun,Dinner,2,9.74,Michael Hamilton,6.50E+15,Sun1118
38.01,3,Male,Yes,Sat,Dinner,4,9.5,James Christensen DDS,3.50E+14,Sat8903
26.41,1.5,Female,No,Sat,Dinner,2,13.2,Melody Simon,4.75E+15,Sat8980
11.24,1.76,Male,Yes,Sat,Dinner,2,5.62,Troy Guerrero,3.56E+15,Sat6683
48.27,6.73,Male,No,Sat,Dinner,4,12.07,Brian Ortiz,6.60E+15,Sat8139
20.29,3.21,Male,Yes,Sat,Dinner,2,10.14,Anthony Mclean,3.48E+14,Sat2353
13.81,2,Male,Yes,Sat,Dinner,2,6.9,Ryan Hernandez,4.77E+12,Sat3030
11.02,1.98,Male,Yes,Sat,Dinner,2,5.51,Joseph Hart,1.80E+14,Sat2265
18.29,3.76,Male,Yes,Sat,Dinner,4,4.57,Chad Hart,5.80E+11,Sat4178
17.59,2.64,Male,No,Sat,Dinner,3,5.86,Michael Johnson,2.22E+15,Sat1667
20.08,3.15,Male,No,Sat,Dinner,3,6.69,Justin Dixon,1.80E+14,Sat6840
16.45,2.47,Female,No,Sat,Dinner,2,8.22,Rachel Vaughn,3.57E+15,Sat4750
3.07,1,Female,Yes,Sat,Dinner,1,3.07,Tiffany Brock,4.36E+15,Sat3455
20.23,2.01,Male,No,Sat,Dinner,2,10.12,Mr. Travis Bailey Jr.,60406789937,Sat561
15.01,2.09,Male,Yes,Sat,Dinner,2,7.5,Adam Hall,4.70E+15,Sat855
12.02,1.97,Male,No,Sat,Dinner,2,6.01,Max Brown,2.13E+14,Sat2100
17.07,3,Female,No,Sat,Dinner,3,5.69,Teresa Fisher,5.44E+15,Sat3469
26.86,3.14,Female,Yes,Sat,Dinner,2,13.43,Victoria Obrien MD,4.22E+12,Sat1967
25.28,5,Female,Yes,Sat,Dinner,2,12.64,Julie Holmes,5.42E+15,Sat6065
14.73,2.2,Female,No,Sat,Dinner,2,7.36,Ashley Harris,5.02E+11,Sat6548
10.51,1.25,Male,No,Sat,Dinner,2,5.26,Kenneth Hayes,2.13E+14,Sat5056
17.92,3.08,Male,Yes,Sat,Dinner,2,8.96,Mark Smith,6.76E+11,Sat9908
27.2,4,Male,No,Thur,Lunch,4,6.8,John Davis,3.03E+13,Thur4924
22.76,3,Male,No,Thur,Lunch,2,11.38,Chris Hahn,3.59E+15,Thur2863
17.29,2.71,Male,No,Thur,Lunch,2,8.64,Brian Diaz,4.76E+15,Thur9501
19.44,3,Male,Yes,Thur,Lunch,2,9.72,Louis Torres,3.88E+13,Thur6453
16.66,3.4,Male,No,Thur,Lunch,2,8.33,William Martin,4.55E+15,Thur8232
10.07,1.83,Female,No,Thur,Lunch,1,10.07,Julie Moody,6.30E+11,Thur4909
32.68,5,Male,Yes,Thur,Lunch,2,16.34,Daniel Murphy,5.36E+15,Thur8801
15.98,2.03,Male,No,Thur,Lunch,2,7.99,Jason Jones,4.44E+15,Thur1944
34.83,5.17,Female,No,Thur,Lunch,4,8.71,Shawna Cook,6.01E+15,Thur7972
13.03,2,Male,No,Thur,Lunch,2,6.52,Derek Thomas,2.13E+14,Thur6793
18.28,4,Male,No,Thur,Lunch,2,9.14,Donald Williams,5.36E+15,Thur3636
24.71,5.85,Male,No,Thur,Lunch,2,12.36,Roger Taylor,4.41E+12,Thur9003
21.16,3,Male,No,Thur,Lunch,2,10.58,Keith Lewis,4.36E+15,Thur6273
28.97,3,Male,Yes,Fri,Dinner,2,14.48,Daniel Mason,3.60E+15,Fri4175
22.49,3.5,Male,No,Fri,Dinner,2,11.24,Earl Horn,6.01E+15,Fri5700
5.75,1,Female,Yes,Fri,Dinner,2,2.88,Leah Ramirez,3.51E+15,Fri3780
16.32,4.3,Female,Yes,Fri,Dinner,2,8.16,Natalie Nguyen,5.18E+15,Fri6963
22.75,3.25,Female,No,Fri,Dinner,2,11.38,Jamie Garza,6.76E+11,Fri2318
40.17,4.73,Male,Yes,Fri,Dinner,4,10.04,Aaron Bentley,1.80E+14,Fri9628
27.28,4,Male,Yes,Fri,Dinner,2,13.64,Eric Carter,4.56E+15,Fri3159
12.03,1.5,Male,Yes,Fri,Dinner,2,6.02,Eric Herrera,5.80E+11,Fri9268
21.01,3,Male,Yes,Fri,Dinner,2,10.5,Michael Li,4.83E+15,Fri144
12.46,1.5,Male,No,Fri,Dinner,2,6.23,Edward Carter,3.47E+14,Fri5575
11.35,2.5,Female,Yes,Fri,Dinner,2,5.68,Lori Lynch,3.86E+13,Fri4106
15.38,3,Female,Yes,Fri,Dinner,2,7.69,Tiffany Colon,6.01E+15,Fri8382
44.3,2.5,Female,Yes,Sat,Dinner,3,14.77,Heather Cohen,3.80E+14,Sat6240
22.42,3.48,Female,Yes,Sat,Dinner,2,11.21,Kathleen Hawkins,3.48E+14,Sat1015
20.92,4.08,Female,No,Sat,Dinner,2,10.46,Gabrielle Frederick,4.01E+15,Sat3194
15.36,1.64,Male,Yes,Sat,Dinner,2,7.68,David Price,4.03E+12,Sat5106
20.49,4.06,Male,Yes,Sat,Dinner,2,10.24,Karl Mcdaniel,1.80E+14,Sat7865
25.21,4.29,Male,Yes,Sat,Dinner,2,12.6,Jason Mullen,4.74E+12,Sat5196
18.24,3.76,Male,No,Sat,Dinner,2,9.12,Steven Grant,4.11E+15,Sat6376
14.31,4,Female,Yes,Sat,Dinner,2,7.16,Amanda Anderson,3.76E+14,Sat2614
14,3,Male,No,Sat,Dinner,2,7,James Sanchez,3.45E+14,Sat6801
7.25,1,Female,No,Sat,Dinner,1,7.25,Terri Jones,3.56E+15,Sat4801
38.07,4,Male,No,Sun,Dinner,3,12.69,Jeff Lopez,3.57E+15,Sun591
23.95,2.55,Male,No,Sun,Dinner,2,11.98,John Joyce,6.57E+15,Sun1885
25.71,4,Female,No,Sun,Dinner,3,8.57,Katie Smith,5.40E+15,Sun6492
17.31,3.5,Female,No,Sun,Dinner,2,8.65,Kayla Stone,3.79E+14,Sun8746
29.93,5.07,Male,No,Sun,Dinner,4,7.48,Shawn Blake,4.69E+15,Sun22
10.65,1.5,Female,No,Thur,Lunch,2,5.32,Linda Zhang,3.56E+15,Thur9593
12.43,1.8,Female,No,Thur,Lunch,2,6.22,Dr. Caroline Tucker,5.02E+11,Thur8084
24.08,2.92,Female,No,Thur,Lunch,4,6.02,Melanie Jordan,6.76E+11,Thur8063
11.69,2.31,Male,No,Thur,Lunch,2,5.84,Kenneth Goodman,4.89E+12,Thur8289
13.42,1.68,Female,No,Thur,Lunch,2,6.71,Laura Garcia,5.18E+15,Thur2158
14.26,2.5,Male,No,Thur,Lunch,2,7.13,Perry Garcia,1.80E+14,Thur3579
15.95,2,Male,No,Thur,Lunch,2,7.98,Christopher Lang,4.82E+15,Thur1992
12.48,2.52,Female,No,Thur,Lunch,2,6.24,Jordan Diaz,4.47E+15,Thur208
29.8,4.2,Female,No,Thur,Lunch,6,4.97,Angela Sanchez,5.04E+11,Thur3948
8.52,1.48,Male,No,Thur,Lunch,2,4.26,Mario Bradshaw,4.52E+15,Thur6719
14.52,2,Female,No,Thur,Lunch,2,7.26,Jessica Simmons,2.13E+14,Thur1512
11.38,2,Female,No,Thur,Lunch,2,5.69,Christine Perkins,3.55E+15,Thur8551
22.82,2.18,Male,No,Thur,Lunch,3,7.61,Raymond Torres,4.86E+12,Thur9424
19.08,1.5,Male,No,Thur,Lunch,2,9.54,Seth Sexton,2.13E+14,Thur1446
20.27,2.83,Female,No,Thur,Lunch,2,10.14,Ashley Burke,5.39E+15,Thur9005
11.17,1.5,Female,No,Thur,Lunch,2,5.58,Taylor Gonzalez,6.01E+15,Thur7783
12.26,2,Female,No,Thur,Lunch,2,6.13,Kaitlin Wolf,6.76E+11,Thur1561
18.26,3.25,Female,No,Thur,Lunch,2,9.13,Karen Rodriguez,4.95E+12,Thur75
8.51,1.25,Female,No,Thur,Lunch,2,4.26,Rebecca Harris,4.32E+15,Thur6600
10.33,2,Female,No,Thur,Lunch,2,5.16,Donna Kelly,1.80E+14,Thur1393
14.15,2,Female,No,Thur,Lunch,2,7.08,Vanessa Morris,2.13E+14,Thur3890
16,2,Male,Yes,Thur,Lunch,2,8,Jason Burgess,3.56E+15,Thur2710
13.16,2.75,Female,No,Thur,Lunch,2,6.58,Lindsey Meyer,6.76E+11,Thur6245
17.47,3.5,Female,No,Thur,Lunch,2,8.74,Kayla Rios,5.23E+15,Thur3906
34.3,6.7,Male,No,Thur,Lunch,6,5.72,Steven Carlson,3.53E+15,Thur1025
41.19,5,Male,No,Thur,Lunch,5,8.24,Eric Andrews,4.36E+15,Thur3621
27.05,5,Female,No,Thur,Lunch,6,4.51,Regina Jones,4.31E+12,Thur6179
16.43,2.3,Female,No,Thur,Lunch,2,8.22,Linda Jones,6.54E+15,Thur9002
8.35,1.5,Female,No,Thur,Lunch,2,4.18,Amy Young,4.29E+12,Thur9331
18.64,1.36,Female,No,Thur,Lunch,3,6.21,Kelly Estrada,60463302327,Thur3941
11.87,1.63,Female,No,Thur,Lunch,2,5.94,Annette Cunningham,6.76E+11,Thur4780
9.78,1.73,Male,No,Thur,Lunch,2,4.89,David Stewart,3.58E+15,Thur7276
7.51,2,Male,No,Thur,Lunch,2,3.76,Daniel Robbins,4.82E+15,Thur6321
14.07,2.5,Male,No,Sun,Dinner,2,7.04,Luke Rice,4.81E+15,Sun8863
13.13,2,Male,No,Sun,Dinner,2,6.56,Jason Arnold,3.57E+15,Sun2127
17.26,2.74,Male,No,Sun,Dinner,3,5.75,Gregory Smith,4.29E+12,Sun5205
24.55,2,Male,No,Sun,Dinner,4,6.14,Todd Patterson,4.42E+15,Sun8670
19.77,2,Male,No,Sun,Dinner,4,4.94,James Smith,2.13E+14,Sun5814
29.85,5.14,Female,No,Sun,Dinner,5,5.97,Madison Wilson,4.21E+15,Sun9176
48.17,5,Male,No,Sun,Dinner,6,8.03,Ryan Gonzales,3.52E+15,Sun7518
25,3.75,Female,No,Sun,Dinner,4,6.25,Laura Robles,2.13E+14,Sun7015
13.39,2.61,Female,No,Sun,Dinner,2,6.7,Ashley Boyd,3.57E+15,Sun982
16.49,2,Male,No,Sun,Dinner,4,4.12,Christopher Soto,3.05E+13,Sun1781
21.5,3.5,Male,No,Sun,Dinner,4,5.38,Travis Gonzalez,3.53E+15,Sun245
12.66,2.5,Male,No,Sun,Dinner,2,6.33,Brandon Oconnor,4.41E+15,Sun5879
16.21,2,Female,No,Sun,Dinner,3,5.4,Jennifer Baird,4.23E+15,Sun5521
13.81,2,Male,No,Sun,Dinner,2,6.9,Charles Newton,5.55E+15,Sun8594
17.51,3,Female,Yes,Sun,Dinner,2,8.76,Audrey Griffin,3.50E+15,Sun444
24.52,3.48,Male,No,Sun,Dinner,3,8.17,Jacob Hansen,4.03E+12,Sun9043
20.76,2.24,Male,No,Sun,Dinner,2,10.38,Gordon Lane,4.11E+15,Sun6738
31.71,4.5,Male,No,Sun,Dinner,4,7.93,Michael Lawson,3.57E+15,Sun3719
10.59,1.61,Female,Yes,Sat,Dinner,2,5.3,Sara Jimenez,5.02E+11,Sat9795
10.63,2,Female,Yes,Sat,Dinner,2,5.32,Amy Hill,3.54E+15,Sat1788
50.81,10,Male,Yes,Sat,Dinner,3,16.94,Gregory Clark,5.47E+15,Sat1954
15.81,3.16,Male,Yes,Sat,Dinner,2,7.9,David Hall,5.02E+11,Sat6750
7.25,5.15,Male,Yes,Sun,Dinner,2,3.62,Larry White,3.04E+13,Sun9209
31.85,3.18,Male,Yes,Sun,Dinner,2,15.92,Scott Perez,3.58E+15,Sun9335
16.82,4,Male,Yes,Sun,Dinner,2,8.41,Brian Miles,3.59E+15,Sun7621
32.9,3.11,Male,Yes,Sun,Dinner,2,16.45,Nathan Reynolds,3.70E+14,Sun5109
17.89,2,Male,Yes,Sun,Dinner,2,8.94,Walter Simmons,6.01E+15,Sun5961
14.48,2,Male,Yes,Sun,Dinner,2,7.24,John Dudley,4.57E+15,Sun6203
9.6,4,Female,Yes,Sun,Dinner,2,4.8,Melanie Gray,4.21E+12,Sun4598
34.63,3.55,Male,Yes,Sun,Dinner,2,17.32,Brian Bailey,3.47E+14,Sun9851
34.65,3.68,Male,Yes,Sun,Dinner,4,8.66,James Hebert DDS,6.76E+11,Sun7544
23.33,5.65,Male,Yes,Sun,Dinner,2,11.66,Jason Cox,6.56E+15,Sun3402
45.35,3.5,Male,Yes,Sun,Dinner,3,15.12,Jose Parsons,4.11E+15,Sun2337
23.17,6.5,Male,Yes,Sun,Dinner,4,5.79,Dr. Michael James,4.72E+12,Sun6059
40.55,3,Male,Yes,Sun,Dinner,2,20.27,Stephen Cox,3.55E+15,Sun5140
20.69,5,Male,No,Sun,Dinner,5,4.14,Joseph Howell,3.04E+13,Sun5842
20.9,3.5,Female,Yes,Sun,Dinner,3,6.97,Heidi Atkinson,4.42E+15,Sun4254
30.46,2,Male,Yes,Sun,Dinner,5,6.09,David Barrett,4.79E+15,Sun9987
18.15,3.5,Female,Yes,Sun,Dinner,3,6.05,Glenda Wiggins,5.78E+11,Sun430
23.1,4,Male,Yes,Sun,Dinner,3,7.7,Richard Stevens,3.56E+15,Sun1821
15.69,1.5,Male,Yes,Sun,Dinner,2,7.84,Riley Barnes,1.80E+14,Sun5104
19.81,4.19,Female,Yes,Thur,Lunch,2,9.9,Kristy Boyd,4.32E+15,Thur967
28.44,2.56,Male,Yes,Thur,Lunch,2,14.22,Dr. Jeffrey Rich,4.74E+12,Thur4334
15.48,2.02,Male,Yes,Thur,Lunch,2,7.74,Raymond Sullivan,1.80E+14,Thur606
16.58,4,Male,Yes,Thur,Lunch,2,8.29,Benjamin Weber,6.76E+11,Thur9318
7.56,1.44,Male,No,Thur,Lunch,2,3.78,Michael White,4.87E+15,Thur697
10.34,2,Male,Yes,Thur,Lunch,2,5.17,Eric Martin,3.04E+13,Thur9862
43.11,5,Female,Yes,Thur,Lunch,4,10.78,Brooke Soto,5.54E+15,Thur9313
13,2,Female,Yes,Thur,Lunch,2,6.5,Katherine Bond,4.93E+12,Thur437
13.51,2,Male,Yes,Thur,Lunch,2,6.76,Joseph Murphy MD,6.55E+15,Thur2428
18.71,4,Male,Yes,Thur,Lunch,3,6.24,Jason Conrad,4.58E+12,Thur6048
12.74,2.01,Female,Yes,Thur,Lunch,2,6.37,Abigail Parks,3.59E+15,Thur2544
13,2,Female,Yes,Thur,Lunch,2,6.5,Ashley Shaw,1.80E+14,Thur1301
16.4,2.5,Female,Yes,Thur,Lunch,2,8.2,Toni Brooks,3.58E+15,Thur7770
20.53,4,Male,Yes,Thur,Lunch,4,5.13,Scott Kim,3.57E+15,Thur2160
16.47,3.23,Female,Yes,Thur,Lunch,3,5.49,Carly Reyes,4.79E+12,Thur8084
26.59,3.41,Male,Yes,Sat,Dinner,3,8.86,Daniel Owens,3.90E+13,Sat1
38.73,3,Male,Yes,Sat,Dinner,4,9.68,Ricky Ramirez,3.48E+14,Sat4505
24.27,2.03,Male,Yes,Sat,Dinner,2,12.14,Jason Carter,4.27E+15,Sat6048
12.76,2.23,Female,Yes,Sat,Dinner,2,6.38,Sarah Cunningham,3.42E+14,Sat1274
30.06,2,Male,Yes,Sat,Dinner,3,10.02,Shawn Mendoza,3.02E+13,Sat8361
25.89,5.16,Male,Yes,Sat,Dinner,4,6.47,Christopher Li,6.01E+15,Sat6735
48.33,9,Male,No,Sat,Dinner,4,12.08,Alex Williamson,6.76E+11,Sat4590
13.27,2.5,Female,Yes,Sat,Dinner,2,6.64,Robin Andersen,5.80E+11,Sat1374
28.17,6.5,Female,Yes,Sat,Dinner,3,9.39,Marissa Jackson,4.92E+15,Sat3374
12.9,1.1,Female,Yes,Sat,Dinner,2,6.45,Jessica Owen,4.73E+12,Sat6983
28.15,3,Male,Yes,Sat,Dinner,5,5.63,Shawn Barnett PhD,4.59E+12,Sat7320
11.59,1.5,Male,Yes,Sat,Dinner,2,5.8,Gary Orr,3.03E+13,Sat8489
7.74,1.44,Male,Yes,Sat,Dinner,2,3.87,Nicholas Archer,3.41E+14,Sat4772
30.14,3.09,Female,Yes,Sat,Dinner,4,7.54,Shelby House,5.02E+11,Sat8863
12.16,2.2,Male,Yes,Fri,Lunch,2,6.08,Ricky Johnson,2.13E+14,Fri4607
13.42,3.48,Female,Yes,Fri,Lunch,2,6.71,Leslie Kaufman,3.79E+14,Fri7511
8.58,1.92,Male,Yes,Fri,Lunch,1,8.58,Jason Lawrence,3.51E+15,Fri6624
15.98,3,Female,No,Fri,Lunch,3,5.33,Mary Rivera,5.34E+15,Fri6014
13.42,1.58,Male,Yes,Fri,Lunch,2,6.71,Ronald Vaughn DVM,3.42E+14,Fri5959
16.27,2.5,Female,Yes,Fri,Lunch,2,8.14,Whitney Arnold,3.58E+15,Fri6665
10.09,2,Female,Yes,Fri,Lunch,2,5.04,Ruth Weiss,5.27E+15,Fri6359
20.45,3,Male,No,Sat,Dinner,4,5.11,Robert Bradley,2.13E+14,Sat4319
13.28,2.72,Male,No,Sat,Dinner,2,6.64,Glenn Jones,5.02E+11,Sat2937
22.12,2.88,Female,Yes,Sat,Dinner,2,11.06,Jennifer Russell,4.79E+12,Sat3943
24.01,2,Male,Yes,Sat,Dinner,4,6,Michael Osborne,4.26E+12,Sat7872
15.69,3,Male,Yes,Sat,Dinner,3,5.23,Jason Parks,4.81E+12,Sat6334
11.61,3.39,Male,No,Sat,Dinner,2,5.8,James Taylor,6.01E+15,Sat2124
10.77,1.47,Male,No,Sat,Dinner,2,5.38,Paul Novak,6.01E+15,Sat1467
15.53,3,Male,Yes,Sat,Dinner,2,7.76,Tracy Douglas,4.10E+15,Sat7220
10.07,1.25,Male,No,Sat,Dinner,2,5.04,Sean Gonzalez,3.53E+15,Sat4615
12.6,1,Male,Yes,Sat,Dinner,2,6.3,Matthew Myers,3.54E+15,Sat5032
32.83,1.17,Male,Yes,Sat,Dinner,2,16.42,Thomas Brown,4.28E+15,Sat2929
35.83,4.67,Female,No,Sat,Dinner,3,11.94,Kimberly Crane,6.76E+11,Sat9777
29.03,5.92,Male,No,Sat,Dinner,3,9.68,Michael Avila,5.30E+15,Sat2657
27.18,2,Female,Yes,Sat,Dinner,2,13.59,Monica Sanders,3.51E+15,Sat1766
22.67,2,Male,Yes,Sat,Dinner,2,11.34,Keith Wong,6.01E+15,Sat3880
17.82,1.75,Male,No,Sat,Dinner,2,8.91,Dennis Dixon,4.38E+12,Sat17
18.78,3,Female,No,Thur,Dinner,2,9.39,Michelle Hardin,3.51E+15,Thur672
